	p7B24h	p13D24h	p2D24h	p18D24h	p16A24h	p20B24h	p19C24h	p8A24h	p1A24h	p14C24h	p5D24h	p3C24h	p11C24h	p10D24h	p4B24h	p22C24h	p9A24h	p6C24h	o10C24h	o13A24h	o4A24h	o9D24h	o19B24h	o7C24h	o1D24h	o16B24h	o22D24h	o8B24h	o3B24h	o18C24h	o14D24h	o6D24h	o20A24h	o5A24h	o2C24h	o11B24h
AC009961.1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	0	1	1	0	0	0	0	1
Mar-07	2	2	3	63	7	9	18	9	6	11	12	4	20	8	7	42	8	20	8	5	6	20	18	7	10	12	39	4	4	6	33	6	26	15	8	26
CD302	4	3	9	55	3	4	18	9	9	14	8	3	15	11	5	37	6	7	4	3	13	24	34	10	15	10	53	13	4	4	42	6	18	12	12	34
AC009961.2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LY75-CD302	0	2	4	10	4	5	7	6	4	4	2	2	8	3	2	7	2	4	0	2	4	10	9	8	4	8	2	6	3	5	12	4	6	2	9	7
PLA2R1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
ITGB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LINC02478	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1
AC092153.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4785	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS1	7	10	11	70	14	7	26	18	19	20	20	9	28	7	14	46	19	18	9	7	14	40	39	11	12	9	40	11	7	13	42	7	40	17	21	46
AC096656.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RN7SL423P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TANK	2	4	11	55	10	11	23	20	19	26	9	12	23	9	18	51	15	17	11	6	22	31	37	22	22	20	58	10	8	11	55	21	41	21	15	45
AC009313.1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
LINC01806	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	0	0
PSMD14	1	2	1	6	2	0	5	5	5	0	0	1	7	2	0	3	2	9	2	1	5	4	5	5	2	0	12	3	1	1	12	3	3	3	2	8
AC009299.3	1	0	1	9	0	0	3	0	3	2	1	0	0	4	0	8	1	1	1	0	1	2	2	3	3	5	3	0	0	0	1	1	1	1	3	7
AC009299.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP108	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
TBR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A10	0	0	4	23	3	0	10	6	2	2	0	2	4	3	0	13	3	3	2	1	3	10	8	4	3	3	6	1	2	0	5	3	10	2	1	12
AHCTF1P1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	1	0	0	0	0
DPP4	1	0	1	5	2	0	3	1	1	2	1	0	0	2	0	8	1	3	0	1	1	0	3	2	2	1	4	1	2	2	5	0	8	2	0	3
AC007750.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
IFIH1	2	3	2	13	4	3	6	0	6	2	5	4	5	3	2	12	0	4	4	1	7	5	5	7	2	8	10	3	6	5	23	0	4	6	2	17
GCA	14	8	19	230	30	15	78	25	31	26	23	11	56	19	24	162	28	41	19	14	36	87	68	54	35	49	132	36	7	14	154	26	56	38	34	113
AC011900.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
KCNH7	0	0	0	9	3	0	2	2	0	0	0	0	1	2	1	9	1	1	2	1	1	2	6	4	0	1	7	0	2	2	7	1	4	1	1	3
FIGN	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1
AC016766.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0
AC107075.1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
GRB14	0	0	0	8	3	2	2	2	2	1	0	1	4	5	2	8	2	1	2	1	3	4	5	2	1	4	0	4	2	1	12	0	1	4	4	5
AC019197.1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	4	0	0	1	0	1	1	2	0	0	0	2	0	0	0	1	0	0	0	1	2
COBLL1	0	2	0	8	3	2	2	0	0	2	1	0	3	4	1	5	2	1	0	1	0	1	2	4	2	1	4	3	0	3	2	1	1	1	0	2
SLC38A11	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	1	2	0
SCN2A	0	1	0	9	5	2	6	1	1	1	1	2	4	3	2	10	1	0	1	1	1	6	8	2	2	2	6	0	2	0	6	3	2	3	3	12
SCN3A	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	2	1	0	1	0	0	1	1	0	2	2	0	4	0	0
CSRNP3	0	0	1	4	0	0	3	2	1	1	0	1	3	2	0	4	0	1	1	0	0	5	3	1	1	0	6	0	1	0	3	1	2	0	2	3
GALNT3	0	1	0	10	0	1	2	3	1	2	0	2	2	2	0	11	0	1	0	0	2	1	5	2	1	0	2	1	0	1	5	4	4	0	1	6
AC009495.3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	1	1	2	0	2	1	0	0	1	0	0	3	1	2	0	1	0
AC009495.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC009495.1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	1	0	2	0	0	0	2	0	1	1	0	0
TTC21B-AS1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
TTC21B	0	1	0	6	3	0	6	0	0	3	0	1	1	0	2	10	2	2	0	0	0	6	3	1	2	1	3	3	0	0	8	0	1	1	1	2
AC010127.1	1	0	0	1	1	0	3	0	0	0	0	0	1	0	2	3	0	2	0	0	1	1	1	0	1	2	3	1	0	0	6	0	0	0	0	2
RF00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN1A	2	0	0	6	0	0	1	3	1	1	0	0	5	1	0	6	1	0	0	0	1	3	4	1	2	2	5	0	0	0	7	1	0	0	1	3
SCN9A	0	0	0	6	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	2	1	0	3
AC074101.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN7A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
XIRP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0
AC073050.1	1	0	1	1	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	1	1	0	0	2	0	1	0	1
B3GALT1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AC016723.1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
STK39	3	5	3	22	7	1	9	4	4	10	4	3	5	3	2	15	1	5	7	7	3	4	12	6	5	2	7	5	2	1	9	1	0	1	2	6
CERS6	3	6	3	16	5	4	8	5	5	5	9	3	7	4	4	21	6	8	3	3	9	9	7	4	4	2	9	5	2	5	15	4	9	7	6	11
MIR4774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
NOSTRIN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERS6-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	1	1	0	1
SPC25	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS9	5	0	0	13	0	0	8	1	3	0	2	0	5	0	0	10	2	7	1	1	2	5	2	1	1	2	6	2	0	0	23	3	4	1	1	10
AC007556.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LRP2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
AC093899.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1
KLHL41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASTKD1	0	1	1	10	0	0	0	0	0	0	1	0	2	2	2	4	2	3	0	0	1	1	1	1	0	0	0	0	0	0	4	0	1	0	1	7
PPIG	0	4	6	70	10	6	18	5	9	4	15	8	20	3	13	53	8	10	8	4	8	21	32	9	7	16	23	5	9	6	48	4	11	14	7	25
CCDC173	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL23	0	0	0	1	2	0	4	1	0	0	2	1	3	2	0	2	1	0	0	2	1	3	1	1	0	5	1	1	0	0	2	2	4	1	0	2
SSB	1	0	3	28	4	1	16	5	4	2	1	5	18	3	5	31	6	1	3	2	11	12	16	6	6	14	22	4	7	6	29	5	16	7	5	20
METTL5	1	0	0	10	3	1	6	1	0	2	0	1	5	4	0	6	2	2	1	2	0	7	2	0	1	2	8	0	1	0	9	0	5	1	1	7
UBR3	1	6	5	28	7	2	10	5	3	6	4	0	3	4	1	15	2	3	3	1	6	20	9	9	3	7	7	7	3	1	19	4	14	9	6	15
MYO3B	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	3	0	0	3
AC012594.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC007277.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EIF2S2P4	2	0	1	19	1	1	3	0	4	0	1	2	2	2	0	15	3	2	0	5	2	5	8	8	2	7	6	3	2	2	13	1	7	2	2	8
AC007405.1	0	0	0	2	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	1	1	0	0	0	0	1
AC007405.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GAD1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	1
GORASP2	0	0	1	8	1	0	9	1	1	1	1	1	3	0	0	10	3	3	0	1	1	1	4	0	6	5	8	3	0	0	7	0	7	3	1	10
TLK1	4	7	11	56	13	8	17	6	6	6	10	9	20	7	9	37	8	13	9	5	13	23	15	11	2	4	27	16	4	6	44	3	16	8	5	27
AC008065.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
DCAF17	0	0	0	5	0	0	4	2	0	1	1	1	2	2	3	1	0	1	0	1	4	0	2	1	0	1	2	0	1	1	3	3	3	1	2	6
METTL8	0	0	0	2	0	0	0	1	0	0	2	0	1	1	0	4	0	0	0	1	0	1	4	0	0	1	3	0	0	2	3	0	4	1	1	4
DAP3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007969.1	4	1	3	46	1	2	23	1	5	2	4	3	17	3	3	43	2	2	1	1	3	34	29	7	7	11	27	9	4	5	52	3	33	2	5	52
CYBRD1	2	0	0	15	0	0	2	0	3	2	1	1	2	0	2	6	1	4	1	2	0	2	3	1	1	3	5	0	1	0	12	2	3	1	3	1
DYNC1I2	0	1	3	17	3	0	9	1	7	3	2	6	4	4	6	15	0	5	1	2	3	7	3	7	4	3	12	4	1	1	17	1	9	3	5	13
RNU6-182P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HAT1	0	0	0	16	2	0	7	4	3	1	2	2	5	2	1	15	5	3	0	1	4	7	10	0	1	7	7	5	2	2	17	0	6	3	2	2
METAP1D	0	0	0	1	0	1	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	1	0	0	0	1
SLC25A12	3	2	0	10	2	0	5	2	1	5	0	0	2	2	0	8	1	2	4	0	2	7	3	0	2	2	4	2	0	0	5	2	5	0	2	11
DLX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DLX2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104088.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA6	1	2	3	18	7	1	15	6	6	5	4	2	0	8	2	18	3	3	1	4	3	5	8	4	4	4	12	1	3	2	16	1	7	7	2	9
AC078883.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1
ITGA6-AS1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	2	0	0	0	3	1	3	0	1	1
PDK1	0	1	3	6	1	2	2	1	0	4	0	1	1	1	0	6	1	3	1	2	2	1	4	3	6	1	6	3	1	1	9	2	4	5	0	4
AC078883.1	0	0	4	11	2	0	7	1	0	2	2	1	2	3	1	4	0	1	1	1	1	1	4	1	1	0	4	1	3	0	1	2	5	7	1	10
AC018712.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAPGEF4	0	0	1	7	0	0	3	2	1	0	0	3	1	0	0	4	1	2	0	0	2	3	2	1	2	5	4	1	0	1	6	1	3	2	0	3
RAPGEF4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
MAP3K20	1	2	1	8	4	2	1	0	0	2	2	0	2	0	1	0	0	1	1	0	1	1	3	3	5	2	9	4	3	2	2	1	3	6	3	5
MAP3K20-AS1	0	0	0	2	2	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1
AC092573.1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDCA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
AC092573.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIAP66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106900.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP3	4	6	11	45	9	3	17	6	6	7	2	0	21	6	10	36	5	11	5	5	10	21	16	10	17	11	28	8	6	8	39	7	17	15	14	35
AC016737.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC016737.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC01960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013467.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL65P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OLA1	0	5	2	14	2	1	7	0	2	5	7	1	4	5	3	7	0	3	5	0	6	4	6	2	5	3	4	5	4	2	7	4	3	3	2	7
CIR1	6	6	7	94	12	12	27	11	21	6	13	4	26	12	9	46	5	20	9	4	13	29	38	16	19	20	51	7	10	7	85	9	34	8	28	43
SCRN3	0	1	0	1	1	0	1	0	1	0	1	0	2	0	2	3	1	2	0	0	1	0	0	3	0	0	0	1	0	0	2	0	0	3	1	2
GPR155	1	0	5	29	2	2	8	1	9	3	4	4	13	2	2	14	5	7	1	0	3	5	8	5	5	3	8	6	2	5	12	10	15	5	5	15
AC010894.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010894.5	0	0	0	5	0	0	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	1
AC010894.3	7	2	4	93	9	8	29	8	14	3	4	3	26	14	4	41	10	5	6	6	11	36	40	16	9	16	38	9	4	6	57	9	31	5	11	56
RNU6-5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
AC010894.4	0	2	0	6	0	0	6	1	1	0	0	0	5	2	0	4	1	2	2	0	0	5	4	3	1	0	8	1	0	4	10	0	3	0	3	4
WIPF1	11	20	27	180	34	26	74	39	39	25	45	13	57	30	21	139	34	51	24	24	30	62	69	32	31	48	129	43	24	19	162	27	72	47	49	109
H3F3AP4	0	0	0	4	0	0	2	1	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	1	0	0	4	1	0	0	4	0	3	2	1	4
CHRNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CHN1	3	0	1	27	7	3	13	7	0	2	2	0	7	2	2	12	3	2	7	1	4	12	13	8	2	7	24	2	0	0	15	0	13	3	9	12
RF02271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATF2	0	0	5	18	0	1	5	3	1	2	4	0	6	3	2	10	2	8	4	0	4	4	10	4	5	1	3	1	2	2	7	5	6	3	3	11
RF00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MC3	3	2	4	23	7	5	11	5	6	7	4	4	2	5	3	30	0	2	4	6	6	18	12	4	4	7	22	4	1	1	32	5	15	4	6	25
AC093459.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
AC016751.2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LNPK	1	0	3	33	4	4	8	7	6	2	2	2	8	5	3	18	3	2	0	0	3	7	15	14	4	9	9	0	2	3	16	2	8	3	3	14
HOXD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HOXD10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HOXD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HOXD-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HAGLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016739.1	4	3	2	52	6	1	15	2	7	2	3	4	4	7	5	35	6	4	6	1	6	17	17	7	5	10	33	4	2	5	31	3	23	6	2	44
MTX2	0	0	2	9	0	0	2	0	0	1	0	1	0	2	0	4	2	0	1	2	0	2	3	1	1	0	3	1	1	1	8	0	3	3	1	4
PPIAP67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC092162.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC074286.1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA3	4	4	6	30	5	2	19	1	7	3	8	5	9	2	4	24	5	7	5	3	12	12	20	7	4	10	22	8	5	4	28	4	11	6	5	17
AC079305.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4444-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DNAJC19P5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3128	0	0	0	2	0	0	4	2	1	1	0	0	1	1	1	10	0	1	1	0	1	5	3	1	2	4	3	0	0	0	4	0	1	2	1	4
AC079305.1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1
AC019080.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019080.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPS	1	0	3	5	1	0	5	1	0	4	3	0	1	7	1	4	0	2	2	0	1	3	6	4	3	1	4	2	2	2	6	2	11	3	2	5
AC019080.1	0	0	0	1	3	1	3	1	0	2	2	0	0	1	0	1	1	0	0	1	2	3	1	0	0	0	5	2	1	0	4	0	1	1	1	2
NFE2L2	0	1	6	59	18	4	24	8	12	13	12	6	9	7	10	53	6	7	3	3	10	20	27	12	21	17	38	10	9	6	42	8	22	14	14	32
TTC30B	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TTC30A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012499.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PDE11A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0
PDE11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM45	0	0	1	4	1	0	2	0	2	2	0	0	1	0	0	2	0	1	1	0	0	2	4	1	1	0	1	0	0	1	3	0	2	0	2	1
OSBPL6	1	0	0	3	1	1	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	3	1	0	0	1	5	0	0	1	3	0	0	0	3	2
AC009948.1	0	1	2	5	0	0	1	2	1	1	1	0	3	3	0	1	0	0	0	1	0	1	3	1	2	0	5	0	1	0	5	1	1	0	2	3
PJVK	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
PRKRA	0	0	0	12	1	0	3	3	0	0	3	0	5	1	0	9	3	1	0	0	0	3	2	2	3	1	10	3	0	1	7	1	2	1	1	12
AC009948.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1	0	1	2	0	0	1	1	1
PLEKHA3	0	0	0	12	1	2	3	0	2	2	3	1	4	2	3	9	3	0	2	1	4	2	7	0	3	5	6	2	0	3	12	0	9	1	3	7
