	p7B24h	p13D24h	p2D24h	p18D24h	p16A24h	p20B24h	p19C24h	p8A24h	p1A24h	p14C24h	p5D24h	p3C24h	p11C24h	p10D24h	p4B24h	p22C24h	p9A24h	p6C24h	o10C24h	o13A24h	o4A24h	o9D24h	o19B24h	o7C24h	o1D24h	o16B24h	o22D24h	o8B24h	o3B24h	o18C24h	o14D24h	o6D24h	o20A24h	o5A24h	o2C24h	o11B24h
RN7SL608P	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AC005696.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	2	0	0	0
MIR6776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005696.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1	0
CLUH	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	3	0	0	0	0	1	5	2	1	0	0	1	0	0	0	1	0	0	0	1	3
AC005696.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CCDC92B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAP1GAP2	4	10	3	23	2	2	9	10	7	3	7	2	7	1	1	11	8	7	5	2	2	9	15	5	7	7	11	6	3	1	21	3	7	4	6	12
AC090282.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OR1AC1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR3A2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ASPA	0	0	0	3	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0
SPATA22	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2
TRPV3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC027796.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPV1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	2	1	1	1	2	0	1	0	0	0
AC027796.3	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CTNS	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	3
AC132942.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TAX1BP3	0	0	1	6	2	1	6	0	0	1	3	0	3	1	1	2	1	2	0	0	0	1	1	0	1	2	7	1	1	0	7	2	1	3	1	11
EMC6	1	0	0	11	1	0	2	2	3	2	1	1	3	0	1	10	1	3	1	2	1	6	7	2	2	2	13	1	0	2	13	2	6	3	1	8
P2RX5-TAX1BP3	0	0	0	5	0	0	1	0	1	1	0	0	3	1	1	8	0	2	0	0	1	3	8	1	0	0	5	0	1	0	8	0	5	1	1	3
AC116914.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAE	0	0	3	10	4	0	5	2	1	1	2	0	6	1	2	8	1	2	0	1	2	4	7	1	1	4	9	2	4	2	11	0	2	2	1	17
NCBP3	0	2	2	13	1	2	10	0	1	1	0	1	3	2	1	8	3	2	1	4	2	1	9	2	6	2	7	1	1	1	14	0	5	1	8	7
CAMKK1	0	0	1	4	0	0	1	2	0	1	0	0	2	0	2	1	1	1	0	0	1	5	4	1	1	0	2	0	0	0	8	0	0	0	0	2
P2RX1	0	1	2	8	5	3	2	3	4	1	2	0	2	3	2	14	2	2	1	1	2	5	7	4	5	0	3	1	0	1	12	0	8	3	2	9
ATP2A3	2	0	2	13	1	0	11	3	5	1	2	5	8	11	0	11	2	3	0	2	7	7	7	5	4	5	11	1	1	3	12	0	4	1	7	15
LINC01975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ZZEF1	3	1	3	14	8	0	3	2	3	6	3	2	2	1	5	6	3	4	1	1	1	6	5	1	0	1	4	5	2	2	6	3	4	4	7	6
CYB5D2	0	0	0	6	0	1	3	2	1	0	0	0	2	0	0	4	0	0	0	0	0	2	3	0	0	1	5	1	0	2	4	2	3	0	0	3
AC087292.1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
RYKP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ANKFY1	1	1	1	6	1	0	4	1	5	1	1	1	3	1	2	5	0	3	0	0	0	0	3	1	3	1	3	5	6	1	2	1	5	1	1	4
MFSD1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RN7SL774P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2G1	1	2	5	19	1	3	7	3	2	1	3	2	7	3	2	20	4	1	0	0	2	5	7	4	3	3	11	4	1	2	14	5	3	7	4	10
SPNS3	1	0	0	2	1	0	1	0	1	0	3	1	1	0	0	1	2	0	0	1	2	3	9	3	0	0	6	2	0	0	4	1	3	2	1	7
AC127521.1	1	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0
SPNS2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2
AC118754.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MYBBP1A	1	0	1	6	1	0	0	1	3	1	1	0	0	0	1	1	0	4	1	1	5	1	3	1	1	0	3	0	0	1	7	0	2	0	0	6
AC118754.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNP4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	3	0	0	0	0	1
SMTNL2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC01996	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALOX15	0	0	1	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	0	1	1	1	0	0	1	0	1	2	4	1	4
AC091153.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
AC091153.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PELP1	0	0	0	2	3	0	4	1	1	1	0	2	0	1	4	2	0	0	1	1	1	3	3	0	1	1	2	3	0	1	3	1	1	1	0	4
AC091153.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARRB2	15	12	8	128	18	6	67	20	16	8	12	10	31	14	5	97	19	20	17	8	12	43	80	25	11	25	96	12	7	20	121	15	46	15	12	64
